"","lsoa11cd","msoa11cd"
"4134","E01012916","E02002663"
"4135","E01012761","E02002666"
"4136","E01012855","E02002680"
"4138","E01012854","E02002680"
"4140","E01012851","E02002680"
"4142","E01012820","E02002673"
"4144","E01033109","E02002680"
"4145","E01012850","E02002675"
"4149","E01012891","E02002681"
"4153","E01012781","E02002652"
"4154","E01012787","E02002653"
"4156","E01012790","E02002655"
"4157","E01012797","E02002670"
"4159","E01012767","E02002663"
"4162","E01012798","E02002670"
"4163","E01012808","E02002677"
"4164","E01012805","E02002677"
"4165","E01012823","E02002662"
"4166","E01012837","E02002661"
"4167","E01012836","E02002660"
"4170","E01012849","E02002668"
"4171","E01012841","E02002668"
"4172","E01012843","E02002672"
"4173","E01012846","E02002672"
"4174","E01012858","E02002682"
"4175","E01012884","E02006813"
"4176","E01033110","E02002682"
"4177","E01012893","E02002681"
"4179","E01012900","E02002673"
"4180","E01012907","E02002658"
"4182","E01012879","E02002654"
"4183","E01012769","E02002656"
"4184","E01012756","E02002676"
"4186","E01012773","E02002678"
"4187","E01012814","E02002664"
"4189","E01012883","E02006813"
"4190","E01012815","E02002664"
"4191","E01012774","E02002670"
"4195","E01012817","E02002667"
"4197","E01012801","E02002670"
"4198","E01012776","E02002678"
"4203","E01012816","E02002671"
"4205","E01012818","E02002664"
"4206","E01012824","E02002661"
"4207","E01012777","E02002679"
"4210","E01012825","E02002661"
"4218","E01012771","E02002679"
"4220","E01012827","E02002662"
"4222","E01012819","E02002667"
"4223","E01012770","E02002679"
"4227","E01012829","E02002657"
"4228","E01012772","E02002679"
"4238","E01012886","E02002682"
"4239","E01012887","E02006813"
"4243","E01012789","E02002653"
"4246","E01012908","E02002655"
"4248","E01012763","E02002669"
"4250","E01012857","E02002675"
"4252","E01012869","E02002666"
"4253","E01012871","E02002666"
"4254","E01012866","E02002669"
"4255","E01012800","E02002674"
"4259","E01012828","E02002662"
"4261","E01012775","E02002679"
"4264","E01012792","E02002665"
"4266","E01012794","E02002665"
"4268","E01012813","E02002664"
"4271","E01012822","E02002658"
"4272","E01012826","E02002662"
"4273","E01012848","E02002671"
"4275","E01012863","E02002678"
"4276","E01012862","E02002676"
"4277","E01012882","E02006813"
"4280","E01012896","E02002671"
"4281","E01012898","E02002668"
"4284","E01012899","E02002673"
"4285","E01012901","E02002671"
"4287","E01012902","E02002673"
"4304","E01012791","E02002665"
"4379","E01012799","E02002674"
"4383","E01012803","E02002674"
"4387","E01012802","E02002674"
"4391","E01012796","E02002674"
"4396","E01012807","E02002667"
"4397","E01012806","E02002667"
"4401","E01012835","E02002660"
"4403","E01012764","E02002656"
"4412","E01012812","E02002664"
"4423","E01012830","E02002657"
"4430","E01012839","E02002660"
"4433","E01012905","E02002657"
"4434","E01012911","E02002658"
"4435","E01012909","E02002658"
"4438","E01012759","E02002676"
"4439","E01012757","E02002676"
"4441","E01012760","E02002676"
"4450","E01012852","E02002675"
"4452","E01012864","E02002678"
